County,Populations
Mathews County,8897
Mecklenburg County,31426
Middlesex County,10762
Montgomery County,96207
Nelson County,14789
New Kent County,19507
Northampton County,12125
Northumberland County,12200
Nottoway County,15773
Orange County,34689
Page County,23821
Patrick County,18368
Pittsylvania County,62426
Powhatan County,28259
Prince Edward County,22802
Prince George County,37253
Prince William County,438580
Pulaski County,34507
Rappahannock County,7478
Richmond County,8953
Roanoke County,93524
Rockbridge County,22307
Rockingham County,77741
Russell County,28264
Scott County,22640
Shenandoah County,42684
Smyth County,31652
Southampton County,18128
Spotsylvania County,127348
Stafford County,136788
Surry County,6765
Sussex County,11810
Tazewell County,44103
Warren County,38699
Washington County,54907
Westmoreland County,17612
Wise County,40589
Wythe County,29344
York County,66269
"Alexandria, City of[z]",148892
"Bristol, City of[z]",17341
"Buena Vista, City of[z]",6680
"Charlottesville, City of[z]",44349
"Chesapeake, City of[z]",230571
"Colonial Heights, City of[z]",17634
"Covington, City of[z]",5818
"Danville, City of[z]",42907
"Emporia, City of[z]",5588
"Fairfax, City of[z]",23973
"Falls Church, City of[z]",13508
"Franklin, City of[z]",8638
"Fredericksburg, City of[z]",28132
"Galax, City of[z]",7035
"Hampton, City of[z]",136699
"Harrisonburg, City of[z]",51395
"Hopewell, City of[z]",22163
"Lexington, City of[z]",7170
"Lynchburg, City of[z]",78014
"Manassas, City of[z]",41705
"Manassas Park, City of[z]",16149
"Martinsville, City of[z]",13755
"Newport News, City of[z]",182020
"Norfolk, City of[z]",246139
"Norton, City of[z]",4017
"Petersburg, City of[z]",32538
"Poquoson, City of[z]",12104
"Portsmouth, City of[z]",96205
"Radford, City of[z]",17184
"Richmond, City of[z]",214114
"Roanoke, City of[z]",98465
"Salem, City of[z]",25299
"Staunton, City of[z]",24350
"Suffolk, City of[z]",85728
"Virginia Beach, City of[z]",448479
"Waynesboro, City of[z]",21263
"Williamsburg, City of[z]",15206
"Winchester, City of[z]",27216
Adams County,19067
Asotin County,22110
Benton County,184486
Chelan County,73967
Clallam County,72312
Clark County,443817
Columbia County,4032
Cowlitz County,101860
Douglas County,39471
Ferry County,7646
Franklin County,86638
Garfield County,2256
Grant County,91878
Grays Harbor County,71078
Island County,78801
Jefferson County,30076
King County,2044449
Kitsap County,253968
Kittitas County,41765
Klickitat County,20866
Lewis County,75081
Lincoln County,10301
Mason County,60497
Okanogan County,41193
Pacific County,20498
Pend Oreille County,12896
Pierce County,819743
San Juan County,15875
Skagit County,118837
Skamania County,11274
Snohomish County,745913
Spokane County,479398
Stevens County,43430
Thurston County,262388
Wahkiakum County,4042
Walla Walla County,59530
Whatcom County,206353
Whitman County,46570
Yakima County,247044
Barbour County,16770
Berkeley County,108706
Boone County,24224
Braxton County,14502
Brooke County,23737
Cabell County,97133
Calhoun County,7564
Clay County,9244
Doddridge County,8344
Fayette County,45599
Gilmer County,8672
Grant County,11759
Greenbrier County,35644
Hampshire County,23445
Hancock County,30291
Hardy County,13920
Harrison County,68972
Jackson County,29178
Jefferson County,55073
Kanawha County,191275
Lewis County,16452
Lincoln County,21559
Logan County,35987
McDowell County,20876
Marion County,56868
Marshall County,32459
Mason County,27126
Mercer County,61984
Mineral County,27704
Mingo County,25900
Monongalia County,102274
Monroe County,13483
Morgan County,17498
Nicholas County,25965
Ohio County,43727
Pendleton County,7471
Pleasants County,7577
Pocahontas County,8669
Preston County,33859
Putnam County,56650
Raleigh County,78833
Randolph County,29415
Ritchie County,10073
Roane County,14656
Summers County,13563
Taylor County,16973
Tucker County,6968
Tyler County,8995
Upshur County,24665
Wayne County,41437
Webster County,8893
Wetzel County,16204
Wirt County,5901
Wood County,86569
Wyoming County,23019
Adams County,20480
Ashland County,16016
Barron County,45676
Bayfield County,15156
Brown County,254586
Buffalo County,13357
Burnett County,15333
Calumet County,49617
Chippewa County,63132
Clark County,34615
Columbia County,56653
Crawford County,16397
Dane County,509939
Dodge County,88344
Door County,27896
Douglas County,43887
Dunn County,44122
Eau Claire County,101438
Florence County,4520
Fond du Lac County,101798
Forest County,9126
Grant County,51069
Green County,37090
Green Lake County,18959
Iowa County,23749
Iron County,5886
Jackson County,20644
Jefferson County,84509
Juneau County,26547
Kenosha County,167757
Kewaunee County,20505
La Crosse County,116713
Lafayette County,16766
Langlade County,19575
Lincoln County,28684
Manitowoc County,80654
Marathon County,135416
Marinette County,41610
Marquette County,15176
Menominee County,4317
Milwaukee County,956023
Monroe County,45298
Oconto County,37318
Oneida County,35689
Outagamie County,180345
Ozaukee County,87054
Pepin County,7360
Pierce County,40976
Polk County,43476
Portage County,70380
Price County,13802
Racine County,195041
Richland County,17717
Rock County,160739
Rusk County,14395
St. Croix County,85930
Sauk County,63162
Sawyer County,16513
Shawano County,41643
Sheboygan County,114922
Taylor County,20610
Trempealeau County,29582
Vernon County,30329
Vilas County,21368
Walworth County,102945
Washburn County,15686
Washington County,132739
Waukesha County,393843
Waupaca County,52285
Waushara County,24329
Winnebago County,169541
Wood County,73959
Albany County,37422
Big Horn County,11994
Campbell County,48176
Carbon County,15748
Converse County,14313
Crook County,7184
Fremont County,40998
Goshen County,13612
Hot Springs County,4847
Johnson County,8628
Laramie County,95809
Lincoln County,18364
Natrona County,80973
Niobrara County,2541
Park County,29227
Platte County,8765
Sheridan County,29824
Sublette County,10041
Sweetwater County,45237
Teton County,22268
Uinta County,21066
Washakie County,8463
Weston County,7158
